Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
As a user I want to be able to login so that I can have all my account information stored and keep track of what progress is being made by my profile.	https://github.com/COS420-F25/TeamA/issues/36	Todo / Sprint Backlog	High	Requirements			"bdube21, DeveauJoshua2002"					Deliverable 3	
Finding example documents for developers	https://github.com/COS420-F25/TeamA/issues/86	Todo / Sprint Backlog					brendonprice					Deliverable 3	D3 Quality Checking Milestone
Add Sprint Numbers and Story Points to Product Backlog	https://github.com/COS420-F25/TeamA/issues/89	Todo / Sprint Backlog					brendonprice					Deliverable 3	D3 Quality Checking Milestone
SRS Revisions	https://github.com/COS420-F25/TeamA/issues/95	Todo / Sprint Backlog					AlexN-H					Deliverable 3	D3 Quality Checking Milestone
Use Case Diagrams/Models and Descriptions Revisions	https://github.com/COS420-F25/TeamA/issues/97	Todo / Sprint Backlog					AlexN-H					Deliverable 3	D3 Quality Checking Milestone
Architecture Design Revisions	https://github.com/COS420-F25/TeamA/issues/98	Todo / Sprint Backlog										Deliverable 3	D3 Quality Checking Milestone
Revise UI Mockups	https://github.com/COS420-F25/TeamA/issues/99	Todo / Sprint Backlog										Deliverable 3	D3 Quality Checking Milestone
Create Domain Model Diagram	https://github.com/COS420-F25/TeamA/issues/91	Todo / Sprint Backlog					brendonprice					Deliverable 3	D3 Quality Checking Milestone
Create Domain Model Description	https://github.com/COS420-F25/TeamA/issues/94	Todo / Sprint Backlog					bdube21					Deliverable 3	D3 Quality Checking Milestone
Set up CI with GitHub Actions	https://github.com/COS420-F25/TeamA/issues/92	Todo / Sprint Backlog					bdube21					Deliverable 3	D3 Quality Checking Milestone
Create Meeting Policy	https://github.com/COS420-F25/TeamA/issues/84	Todo / Sprint Backlog					bdube21		Brendon P			Deliverable 3	D3 Quality Checking Milestone
Add Progress Percentage to Sprint Backlog	https://github.com/COS420-F25/TeamA/issues/90	Todo / Sprint Backlog					brendonprice					Deliverable 3	D3 Quality Checking Milestone
Set up KanBan Roadmap for D3	https://github.com/COS420-F25/TeamA/issues/83	Todo / Sprint Backlog					DeveauJoshua2002		Brady D			Deliverable 3	D3 Quality Checking Milestone
Update quality checking policy	https://github.com/COS420-F25/TeamA/issues/85	Todo / Sprint Backlog					DeveauJoshua2002					Deliverable 3	D3 Quality Checking Milestone
Record 1-10 minute video showing progress	https://github.com/COS420-F25/TeamA/issues/88	Todo / Sprint Backlog					DeveauJoshua2002					Deliverable 3	D3 Quality Checking Milestone
Update Use Case Diagram	https://github.com/COS420-F25/TeamA/issues/100	Todo / Sprint Backlog					AlexN-H					Deliverable 3	D3 Quality Checking Milestone
Usability Testing Script	https://github.com/COS420-F25/TeamA/issues/103	Todo / Sprint Backlog					AlexN-H					Deliverable 3	D3 Quality Checking Milestone
